ticker,type_label,timestamp,tier,score,hard_rejected,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,exit_signals,close,ma20,ma60,vol_ratio,detail_score,exchange
1101,,2026-08-25 00:49,OUT,50,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,24.9,24.3,23.8,1.24,c1=✅10 c2=✅5 c3=✅5 c4=✅10 c5=❌5 c6=✅5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
1722,,2026-08-25 00:49,OUT,45,True,False,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,46.5,45.8,47.0,1.28,c1=❌10 c2=✅5 c3=✅5 c4=✅10 c5=✅5 c6=✅5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
9921,,2026-08-25 00:49,OUT,45,True,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,107.5,95.2,82.8,1.1,c1=✅10 c2=✅5 c3=❌5 c4=✅10 c5=✅5 c6=❌5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
2363,,2026-08-25 00:49,EXIT,40,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,"E1: 多頭破月線(前30日曾站上), E3: 跌破季線+季線走平/向下",50.7,51.2,59.1,0.82,c1=❌10 c2=❌5 c3=✅5 c4=❌10 c5=✅5 c6=✅5 c7=✅10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
1440,,2026-08-25 00:49,OUT,60,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,,14.0,13.0,13.1,1.48,c1=✅10 c2=✅5 c3=❌5 c4=✅10 c5=✅5 c6=✅5 c7=✅10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
6269,,2026-08-25 00:49,OUT,25,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,62.4,60.2,65.1,0.58,c1=❌10 c2=✅5 c3=❌5 c4=❌10 c5=❌5 c6=✅5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
1312,,2026-08-25 00:49,OUT,25,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,12.0,11.7,12.9,0.94,c1=❌10 c2=✅5 c3=✅5 c4=❌10 c5=❌5 c6=❌5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
1313,,2026-08-25 00:49,OUT,50,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,11.9,11.2,11.7,1.56,c1=✅10 c2=✅5 c3=✅5 c4=✅10 c5=✅5 c6=❌5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
2104,,2026-08-25 00:49,OUT,40,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,,10.6,10.1,10.4,1.53,c1=✅10 c2=✅5 c3=❌5 c4=✅10 c5=❌5 c6=❌5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
6230,,2026-08-25 00:49,EXIT,25,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,"E1: 多頭破月線(前30日曾站上), E3: 跌破季線+季線走平/向下",107.5,109.6,121.5,0.65,c1=❌10 c2=❌5 c3=✅5 c4=❌10 c5=❌5 c6=✅5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
2913,,2026-08-25 00:49,OUT,35,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,,11.3,11.0,11.1,0.77,c1=✅10 c2=✅5 c3=✅5 c4=❌10 c5=❌5 c6=✅5 c7=❌10 c9=❌5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
1702,,2026-08-25 00:49,EXIT,35,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,E1: 多頭破月線(前30日曾站上),33.0,33.1,32.5,0.67,c1=✅10 c2=❌5 c3=✅5 c4=❌10 c5=✅5 c6=❌5 c7=❌10 c9=✅5 c10=✅5 c11=❌10 c12=✅5 c13=❌5 c14=❌5 c15=❌5 c18=❌10 c19_bonus=❌5,TW
