代碼: 700094, 名稱: 宏觀凱基54購01, 市場: 上櫃
代碼: 700095, 名稱: 系統電凱基54購01, 市場: 上櫃
代碼: 700096, 名稱: 佳邦凱基55購01, 市場: 上櫃
代碼: 700097, 名稱: 原相凱基54購03, 市場: 上櫃
代碼: 700098, 名稱: 鈊象凱基54購05, 市場: 上櫃
代碼: 700099, 名稱: 鈺太凱基55購01, 市場: 上櫃
代碼: 700100, 名稱: 營邦凱基54購01, 市場: 上櫃
代碼: 700101, 名稱: M31元大54購02, 市場: 上櫃
代碼: 700102, 名稱: M31元大56購01, 市場: 上櫃
代碼: 700103, 名稱: 中光電元大5A購01, 市場: 上櫃
代碼: 700104, 名稱: 系統電元大54購02, 市場: 上櫃
代碼: 700105, 名稱: 昇達科元大54購09, 市場: 上櫃
代碼: 700106, 名稱: 威剛元大54購15, 市場: 上櫃
代碼: 700107, 名稱: 茂達元大54購01, 市場: 上櫃
代碼: 700108, 名稱: 原相元大54購01, 市場: 上櫃
代碼: 700109, 名稱: 鈊象元大54購04, 市場: 上櫃
代碼: 700110, 名稱: 鈊象元大54購05, 市場: 上櫃
代碼: 700111, 名稱: 萬潤元大54購02, 市場: 上櫃
代碼: 700112, 名稱: 雙鴻元大54購17, 市場: 上櫃
代碼: 700113, 名稱: 雙鴻元大5A購01, 市場: 上櫃
代碼: 700114, 名稱: 譜瑞元大54購14, 市場: 上櫃
代碼: 700115, 名稱: 譜瑞元大54購15, 市場: 上櫃
代碼: 700116, 名稱: 宜鼎富邦54購02, 市場: 上櫃
代碼: 700117, 名稱: IET國票55購03, 市場: 上櫃
代碼: 700118, 名稱: 立碁國票55購01, 市場: 上櫃
代碼: 700119, 名稱: 光焱國票55購01, 市場: 上櫃
代碼: 700120, 名稱: 伯特光國票55購01, 市場: 上櫃
代碼: 700121, 名稱: 均豪國票55購01, 市場: 上櫃
代碼: 700122, 名稱: 系微國票55購02, 市場: 上櫃
