訊號,ticker,name,sector,total,f1,f2,f3,f4,f5,count,eps_2026,eps_2027,growth_2026,growth_2027,rev_yoy_3m,rev_1m,rev_3m,analysts,note,target_mean,foreign_20d,trust_20d,main_force_20d,close,ma20,ma60,dist_60d_high,rsi14,entry_low,entry_high,stop_loss,target_price,rr,target_note,entry_note,rejected_rules,grade
🟠股價過高,2408,南亞科,IC製造,93,25,30,18,12,8,2,65.04435,95.72625,29.5373,0.47169998,690.3631109496349,6.91,51.01,8,,559.8333,128186.743,8316.552,136503.3,485.5,464.32,432.75,-8.05,53.24,464.32,478.25,438.3,528.0,1.72,,,,B
🟢研究進場,3037,欣興,印刷電路板相關,84,25,30,14,12,3,6,20.12185,37.60692,3.6364002,0.869,37.45907506213413,25.12,37.76,17,,1257.8948,46179.518,12045.06,58224.6,1075.0,967.0,940.82,-6.11,59.69,967.0,996.01,912.8,1257.89,4.02,近目標空間不足（6.5%），改用較遠者,,,S
🟢研究進場,2383,台光電,印刷電路板相關,83,21,30,14,12,6,9,116.03146,225.55748,1.7845,0.9439,121.57446156681948,18.21,31.54,16,,7517.8125,140.65,490.46,631.1,5430.0,5371.0,5231.83,-14.49,49.62,5371.0,5532.13,5069.96,6350.0,2.35,,,,S
🟠股價過高,3017,奇鋐,電子零件元件,81,25,23,18,9,6,3,98.835,151.0043,1.0488,0.52779996,61.38066971261747,4.22,5.57,8,,3833.1765,7355.371,5202.842,12558.2,2775.0,2788.0,2545.42,-14.22,50.87,,,,,,,架構轉弱，不進場,,B
🟠股價過高,2382,廣達,電腦系統業,78,24,28,12,6,8,5,26.63546,31.93112,0.4085,0.1988,109.52400426986874,12.79,13.54,18,,422.45,-28066.289,4742.82,-23323.5,320.0,313.65,348.46,-23.26,46.74,,,,,,,架構轉弱，不進場,,B
🟠股價過高,2344,華邦電,IC製造,77,25,28,10,6,8,1,25.4075,52.27664,27.8722,1.0575,221.13076149392126,14.57,36.16,4,,247.57143,90395.019,-58246.707,32148.3,170.0,165.38,174.17,-23.42,50.07,,,,,,,架構轉弱，不進場,,B
🟠股價過高,3231,緯創,電腦系統業,74,20,30,12,6,6,2,17.10425,23.46078,1.0362,0.3716,51.28261164518404,25.33,22.82,5,,266.52942,94808.897,11834.17,106643.1,172.5,183.7,167.48,-12.44,45.72,,,,,,,架構轉弱，不進場,,B
🟠股價過高,3034,聯詠,IC設計,71,20,26,14,9,2,2,33.70448,35.32413,0.2544,0.0481,18.369552863871792,15.45,16.38,17,,529.1667,12779.521,-41.985,12737.5,542.0,525.08,513.7,-4.41,57.75,525.08,540.83,495.65,567.0,0.91,近目標空間不足（-2.4%），改用較遠者,,,B
🟠股價過高,3045,台灣大,網通設備,70,18,20,18,12,2,1,5.4335,5.6336,0.15609999,0.0368,5.872348498133769,8.94,7.7,3,,123.5,58009.909,1026.581,59036.5,115.0,111.8,114.19,-4.56,61.88,,,,,,,待 20MA 站上 60MA 後再評,,B
🟠股價過高,2887,台新新光金,金融業,68,22,26,6,12,2,3,2.75775,2.76666,0.45830002,0.0032,131.83815167924797,5.03,24.45,5,,28.19879,-15083.386,130677.254,115593.9,36.849998474121094,35.8,33.61,-2.38,57.57,35.8,36.87,33.79,28.2,-3.2,近目標空間不足（2.4%），改用較遠者,,,B
